Generated by pymatgen.io.lammps.data.LammpsData

3200  atoms

   4  atom types

0.000000 22.461078  xlo xhi
0.000000 53.608416  ylo yhi
0.000000 31.862463  zlo zhi
5.170074 -0.677431 4.256297  xy xz yz

Masses

1   6.9410
2  51.9961
3  28.0855
4  15.9994

Atoms

380   2  1.5750 24.019769 33.230589 28.825859
381   2  1.5750 25.820361 43.440470  4.929011
382   2  1.5750 25.651003 44.504544 12.894627
383   2  1.5750 25.481645 45.568619 20.860243
384   2  1.5750 25.312288 46.632693 28.825859
385   2  1.5750  3.018895  9.408892  0.938557
386   2  1.5750  2.849537 10.472967  8.904172
387   2  1.5750  2.680180 11.537041 16.869788
388   2  1.5750  2.510822 12.601115 24.835404
389   2  1.5750  4.311413 22.810997  0.938557
390   2  1.5750  4.142056 23.875071  8.904172
391   2  1.5750  3.972698 24.939145 16.869788
392   2  1.5750  3.803340 26.003219 24.835404
393   2  1.5750  5.603932 36.213101  0.938557
394   2  1.5750  5.434574 37.277175  8.904172
395   2  1.5750  5.265216 38.341249 16.869788
396   2  1.5750  5.095859 39.405323 24.835404
397   2  1.5750  6.896450 49.615205  0.938557
398   2  1.5750  6.727092 50.679279  8.904172
399   2  1.5750  6.557735 51.743353 16.869788
400   2  1.5750  6.388377 52.807427 24.835404
401   2  1.5750  8.634164  9.408892  0.938557
402   2  1.5750  8.464807 10.472967  8.904172
403   2  1.5750  8.295449 11.537041 16.869788
404   2  1.5750  8.126091 12.601115 24.835404
405   2  1.5750  9.926683 22.810997  0.938557
406   2  1.5750  9.757325 23.875071  8.904172
407   2  1.5750  9.587967 24.939145 16.869788
408   2  1.5750  9.418610 26.003219 24.835404
409   2  1.5750 11.219201 36.213101  0.938557
410   2  1.5750 11.049844 37.277175  8.904172
411   2  1.5750 10.880486 38.341249 16.869788
412   2  1.5750 10.711128 39.405323 24.835404
413   2  1.5750 12.511720 49.615205  0.938557
414   2  1.5750 12.342362 50.679279  8.904172
415   2  1.5750 12.173004 51.743353 16.869788
416   2  1.5750 12.003647 52.807427 24.835404
417   2  1.5750 14.249434  9.408892  0.938557
418   2  1.5750 14.080076 10.472967  8.904172
419   2  1.5750 13.910719 11.537041 16.869788
420   2  1.5750 13.741361 12.601115 24.835404
421   2  1.5750 15.541952 22.810997  0.938557
422   2  1.5750 15.372595 23.875071  8.904172
423   2  1.5750 15.203237 24.939145 16.869788
424   2  1.5750 15.033879 26.003219 24.835404
425   2  1.5750 16.834471 36.213101  0.938557
426   2  1.5750 16.665113 37.277175  8.904172
427   2  1.5750 16.495755 38.341249 16.869788
428   2  1.5750 16.326398 39.405323 24.835404
429   2  1.5750 18.126989 49.615205  0.938557
430   2  1.5750 17.957631 50.679279  8.904172
431   2  1.5750 17.788274 51.743353 16.869788
432   2  1.5750 17.618916 52.807427 24.835404
433   2  1.5750 19.864703  9.408892  0.938557
434   2  1.5750 19.695346 10.472967  8.904172
435   2  1.5750 19.525988 11.537041 16.869788
436   2  1.5750 19.356630 12.601115 24.835404
437   2  1.5750 21.157222 22.810997  0.938557
438   2  1.5750 20.987864 23.875071  8.904172
439   2  1.5750 20.818506 24.939145 16.869788
440   2  1.5750 20.649149 26.003219 24.835404
441   2  1.5750 22.449740 36.213101  0.938557
442   2  1.5750 22.280382 37.277175  8.904172
443   2  1.5750 22.111025 38.341249 16.869788
444   2  1.5750 21.941667 39.405323 24.835404
445   2  1.5750 23.742259 49.615205  0.938557
446   2  1.5750 23.572901 50.679279  8.904172
447   2  1.5750 23.403543 51.743353 16.869788
448   2  1.5750 23.234186 52.807427 24.835404
449   2  1.5750  3.719317  5.057493  7.026804
450   2  1.5750  3.549959  6.121567 14.992420
451   2  1.5750  3.380602  7.185642 22.958036
452   2  1.5750  3.211244  8.249716 30.923651
453   2  1.5750  5.011836 18.459597  7.026804
454   2  1.5750  4.842478 19.523671 14.992420
455   2  1.5750  4.673120 20.587746 22.958036
456   2  1.5750  4.503763 21.651820 30.923651
457   2  1.5750  6.304354 31.861701  7.026804
458   2  1.5750  6.134996 32.925775 14.992420
459   2  1.5750  5.965639 33.989850 22.958036
460   2  1.5750  5.796281 35.053924 30.923651
461   2  1.5750  7.596872 45.263805  7.026804
462   2  1.5750  7.427515 46.327879 14.992420
463   2  1.5750  7.258157 47.391954 22.958036
464   2  1.5750  7.088799 48.456028 30.923651
465   2  1.5750  9.334587  5.057493  7.026804
466   2  1.5750  9.165229  6.121567 14.992420
467   2  1.5750  8.995871  7.185642 22.958036
468   2  1.5750  8.826514  8.249716 30.923651
469   2  1.5750 10.627105 18.459597  7.026804
470   2  1.5750 10.457747 19.523671 14.992420
471   2  1.5750 10.288390 20.587746 22.958036
472   2  1.5750 10.119032 21.651820 30.923651
473   2  1.5750 11.919623 31.861701  7.026804
474   2  1.5750 11.750266 32.925775 14.992420
475   2  1.5750 11.580908 33.989850 22.958036
476   2  1.5750 11.411551 35.053924 30.923651
477   2  1.5750 13.212142 45.263805  7.026804
478   2  1.5750 13.042784 46.327879 14.992420
479   2  1.5750 12.873427 47.391954 22.958036
480   2  1.5750 12.704069 48.456028 30.923651
481   2  1.5750 14.949856  5.057493  7.026804
482   2  1.5750 14.780498  6.121567 14.992420
483   2  1.5750 14.611141  7.185642 22.958036
484   2  1.5750 14.441783  8.249716 30.923651
485   2  1.5750 16.242374 18.459597  7.026804
486   2  1.5750 16.073017 19.523671 14.992420
487   2  1.5750 15.903659 20.587746 22.958036
488   2  1.5750 15.734302 21.651820 30.923651
489   2  1.5750 17.534893 31.861701  7.026804
490   2  1.5750 17.365535 32.925775 14.992420
491   2  1.5750 17.196178 33.989850 22.958036
492   2  1.5750 17.026820 35.053924 30.923651
493   2  1.5750 18.827411 45.263805  7.026804
494   2  1.5750 18.658054 46.327879 14.992420
495   2  1.5750 18.488696 47.391954 22.958036
496   2  1.5750 18.319338 48.456028 30.923651
