Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 26.839531  xlo xhi
0.000000 30.911487  ylo yhi
0.000000 37.891080  zlo zhi
0.033593 -13.348165 -7.706166  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

318   1  0.5250   4.716416  7.845781  8.427202
319   2  1.5750   6.883519 10.963330  9.765026
320   4 -1.0500   5.456232 12.554862  0.250511
321   4 -1.0500   9.080422 11.904028  5.112889
322   1  0.5250  21.205615  7.826269  7.626087
323   1  0.5250   5.464648  8.963154  2.237092
324   1  0.5250   6.599527  7.311860 11.049350
325   1  0.5250   8.996438  7.187611 11.294105
326   1  0.5250   6.821090 10.957203  3.768298
327   1  0.5250   9.191761 10.929404 10.721345
328   1  0.5250   3.696152  9.650693  7.588083
329   1  0.5250   9.079037 10.517942  8.160653
330   1  0.5250   7.623246  6.681460  1.152139
331   1  0.5250   6.879252 10.938276  1.419785
332   1  0.5250   4.956712 12.744542  6.610989
333   1  0.5250   8.735468 12.907500  7.061498
334   1  0.5250   4.571418  8.266280  6.022319
335   1  0.5250   4.167196  7.743052  3.693737
336   2  1.5750   9.464694  7.368382  2.840765
337   4 -1.0500   6.273267 12.939668  2.783156
338   2  1.5750   3.886022  9.618952  0.348196
339   2  1.5750   8.997153  8.310491  7.604016
340   2  1.5750   8.749354  9.719582  3.933163
341   3  1.5750   7.664230  8.793231  2.163924
342   4 -1.0500   6.846304 12.737386  5.372177
343   3  1.5750   6.510876  9.345936  7.946389
344   3  1.5750   6.775831  7.222108  6.476077
345   4 -1.0500   6.427215  8.654055  4.464981
346   4 -1.0500   8.634463  7.699012  5.254137
347   4 -1.0500   4.543306 10.000316  4.087878
348   4 -1.0500  10.173974  9.523444  5.957454
349   4 -1.0500   7.357270  6.664642  3.565057
350   4 -1.0500   7.095727  7.189251  8.734343
351   4 -1.0500   4.601766 11.246934  1.836869
352   4 -1.0500   8.092118  8.959655  9.870293
353   4 -1.0500   8.731603 11.832070  2.435654
354   4 -1.0500   5.152533 11.339586  8.435257
355   4 -1.0500   3.416243  7.325302  1.215082
356   4 -1.0500   9.899571  7.448227  0.498498
357   4 -1.0500   7.045155 11.613684  7.459771
358   2  1.5750   3.764126 13.429489  2.561339
359   4 -1.0500   5.573250 10.439640  6.097072
360   4 -1.0500   7.769939  9.950631  5.985889
361   2  1.5750   8.166889 13.644671  3.742880
362   4 -1.0500  10.894488 11.071666  3.859951
363   1  0.5250   9.955295  9.487846  1.907641
364   4 -1.0500   3.942938  7.242008 10.905348
365   1  0.5250  10.911139  7.222351  5.672151
366   4 -1.0500  10.396624  8.877765  9.770245
367   4 -1.0500   7.675830 13.338132  0.883415
368   1  0.5250   4.792452 12.178954  4.228454
369   4 -1.0500  10.529409 13.345319  3.828905
370   3  1.5750   5.317081  9.122631 10.121414
371   4 -1.0500   7.000904  9.690946 11.749967
372   4 -1.0500  10.904788 11.848211  1.409239
373   2  1.5750   5.312407 10.836277 12.021798
374   2  1.5750   9.389347  9.188747 12.131775
375   4 -1.0500  10.698066 11.578145  6.815208
376   1  0.5250   3.867316 12.546487 12.480437
377   4 -1.0500  11.020747 11.345867  9.199303
378   2  1.5750  11.108791  7.080895  7.901930
379   4 -1.0500  11.020324 12.953042 10.682704
380   4 -1.0500  23.902580 11.103590  1.490998
381   4 -1.0500  21.170153 12.281700  4.865807
382   4 -1.0500  13.609517 14.529463  2.261031
383   4 -1.0500  18.267388 14.652399  2.378626
384   2  1.5750  15.553038 12.379147 11.839225
385   4 -1.0500  16.938566 14.072775  4.620186
386   4 -1.0500  13.162836 12.899116  9.478017
387   4 -1.0500  17.352101 12.850315  7.143342
388   1  0.5250  13.230373 11.897182 11.530780
389   1  0.5250  15.128494 13.035444  8.147862
390   4 -1.0500  11.090687  8.745322  3.909528
391   1  0.5250  11.301462  6.529281 10.355338
392   3  1.5750  17.234231 14.081257  0.358693
393   4 -1.0500  13.129608 11.487337  0.512199
394   4 -1.0500  17.489283 10.772012 11.571909
395   2  1.5750  14.604704 13.054225  4.068730
396   4 -1.0500  18.457669  7.887381  0.505404
397   4 -1.0500  18.225798  9.953952  3.096015
398   1  0.5250  16.074031 10.968765  3.460921
399   1  0.5250  13.998749  8.140314 11.238341
400   1  0.5250  12.521528 12.606788  2.765496
401   1  0.5250  16.831209  6.536200  1.114473
402   1  0.5250  18.150509 12.364356  3.260913
403   1  0.5250  14.865578 11.249435  9.581445
404   1  0.5250  12.353349 10.048296  2.136743
405   1  0.5250  15.246525  8.891593  9.418844
406   1  0.5250  16.777572  9.260960  1.362968
407   1  0.5250  14.749726  7.178837  7.935485
408   1  0.5250  12.393458 10.063308  5.736426
409   1  0.5250  17.339612  9.588003  5.251487
410   1  0.5250  15.133963  7.451663  5.584703
411   2  1.5750  11.969943  7.804587  1.940200
412   2  1.5750  17.147730 11.625575  1.376678
413   2  1.5750  12.833174  8.040601  9.170685
414   2  1.5750  17.466439  7.557335  9.165740
415   2  1.5750  12.126473 12.440810  5.247210
416   3  1.5750  14.714156 12.094927  1.824697
417   3  1.5750  11.616042  8.326602 11.630191
418   3  1.5750  17.160098  9.915619  9.460044
419   3  1.5750  12.902872 11.583372  7.838876
420   3  1.5750  18.230353 10.445038  7.333629
421   3  1.5750  14.057630  9.524844  7.536164
422   4 -1.0500  13.566506 10.952451  4.007345
423   4 -1.0500  15.975087  8.500308  3.675629
424   4 -1.0500  13.409192  8.366390  4.010193
425   4 -1.0500  14.964981  9.812511  5.453878
426   2  1.5750  17.058787 12.305861  9.450150
427   4 -1.0500  14.559272  9.777016  2.256683
428   4 -1.0500  16.190611 13.626223  2.389309
429   4 -1.0500  12.968663 10.087131 10.025375
430   4 -1.0500  14.422183 13.664408  0.063166
431   4 -1.0500  15.880929 10.888753  7.559489
432   3  1.5750  16.577144  8.213398 11.512957
433   4 -1.0500  11.525642  9.457369  7.819688
434   4 -1.0500  16.494578  8.742386  7.198399
435   4 -1.0500  14.923297  7.491462  1.893782
436   4 -1.0500  13.663123  8.498081  0.416260
437   4 -1.0500  17.335965  7.059362  5.102556
438   4 -1.0500  16.627331 11.819980  5.423747
439   4 -1.0500  12.901105  7.880871  6.420711
440   4 -1.0500  14.294112 12.034885  6.105608
441   2  1.5750  17.995014  7.517343  2.851861
442   1  0.5250  11.977763 13.867813  0.703085
443   2  1.5750  11.357353 10.583920 11.595931
444   4 -1.0500  15.221358 10.056423 11.562964
445   4 -1.0500  18.599135  7.712291  6.996431
446   4 -1.0500  18.766868  8.886540 11.042001
447   4 -1.0500  12.834926 13.745201  7.067351
448   1  0.5250  19.055348 10.350989  0.792372
449   1  0.5250  19.113980 11.223948  9.675655
450   2  1.5750  18.912997 13.136674  5.265971
451   1  0.5250  21.497015  8.600722 10.102010
452   3  1.5750  24.104758 10.272895  5.526279
453   1  0.5250  24.140518  6.742222  2.711830
454   4 -1.0500  20.018311  9.393380  6.520491
455   4 -1.0500  24.854614  7.895084  5.006772
456   4 -1.0500  -0.336965 14.428299  1.071725
457   1  0.5250  20.608952 10.382913 11.227698
458   3  1.5750  22.932675  9.016974  8.347508
459   4 -1.0500  19.488777 12.918425  0.964324
460   1  0.5250  21.907178 10.583630  6.206579
461   4 -1.0500  19.010827 13.469080  8.821253
462   1  0.5250  20.850850  6.548119  5.802027
463   2  1.5750  22.113688 12.173168 11.769413
464   2  1.5750  21.467883  7.285743  3.610849
465   4 -1.0500  19.279267 10.890023  5.033640
466   1  0.5250  22.833803 11.179906  3.737752
467   1  0.5250  23.264654  8.784700  3.405607
468   4 -1.0500  21.816234 14.017800  0.161620
469   2  1.5750  24.106007 13.677768  1.251602
470   2  1.5750  23.490033 12.548520  5.798913
471   3  1.5750  21.048289 11.382393  0.163839
472   3  1.5750  19.359341  8.111643  4.699431
473   4 -1.0500  21.987972 12.661724  7.536469
474   4 -1.0500  20.092659  6.785099 10.232698
475   4 -1.0500  20.491496  8.074775 12.323884
476   4 -1.0500  23.346152  6.780660  7.142243
477   2  1.5750  19.972198  8.720433  2.299703
478   1  0.5250  19.547679 12.165520 11.899657
479   2  1.5750  24.202972  8.769149  1.224556
480   4 -1.0500  21.893144  9.896680  1.739455
481   4 -1.0500  22.120105  7.579376  1.370362
482   4 -1.0500  19.395915  8.891666  8.860393
483   4 -1.0500  20.168760  6.491515  1.704384
484   4 -1.0500  22.035133 12.582248  2.088911
485   1  0.5250  24.518197 12.709363  3.535553
486   4 -1.0500  25.891028 12.241609  1.379678
487   3  1.5750  20.189378 11.324651  2.855591
488   1  0.5250  22.545963 14.011376  4.119626
489   2  1.5750  20.417972 13.822616  3.289738
490   4 -1.0500  22.716440 10.707260 10.012317
491   4 -1.0500  21.058619  9.649356  4.228096
492   3  1.5750  25.087669 10.219320  3.363794
493   4 -1.0500  21.040084 12.612493  9.766396
494   4 -1.0500  -4.255736  1.160739 12.433214
495   4 -1.0500  -0.729260  5.956639 12.330966
496   4 -1.0500   5.638470  7.804019  0.158387
497   2  1.5750   8.993165  4.983273  0.173947
498   4 -1.0500   8.912758 15.390365  0.039998
499   4 -1.0500  15.111227 10.309077  0.061397
500   1  0.5250  -4.661780 -1.624232 18.163406
501   1  0.5250  -2.587651 -3.469706 18.138448
502   1  0.5250  -4.529211 -0.336347 15.926164
503   1  0.5250  -6.825860 -0.745130 21.790810
504   1  0.5250  -2.707822 -1.665834 16.554186
505   1  0.5250  -6.636618 -2.237120 23.383290
506   1  0.5250  -2.309659 -2.491671 13.874752
507   1  0.5250  -4.611229 -3.569264 19.594590
508   1  0.5250  -5.685633  1.205068 21.124168
509   1  0.5250  -6.204162 -1.744609 19.881577
510   2  1.5750  -7.955288 -0.475956 24.302244
511   2  1.5750  -2.700065 -3.000879 22.983070
512   3  1.5750  -1.347740  1.971074 18.000324
513   3  1.5750  -4.905552  1.685601 14.704817
514   3  1.5750  -3.326021  1.454465 21.740601
515   3  1.5750  -2.385130 -1.220617 18.927058
516   4 -1.0500  -3.412858  0.543730 17.798074
517   4 -1.0500  -2.677989 -3.008638 20.497584
518   4 -1.0500  -5.768117  0.488135 18.830802
519   4 -1.0500  -4.933383  2.145308 17.282044
520   4 -1.0500  -2.746528  0.076501 14.524795
521   4 -1.0500  -4.112297 -0.380543 20.214565
522   4 -1.0500  -4.656492 -2.273066 21.701973
523   4 -1.0500  -4.597642 -0.923586 13.433956
524   4 -1.0500  -2.448765 -0.946304 21.617098
525   4 -1.0500  -6.114169  2.697995 19.367288
526   4 -1.0500  -2.963060  1.902034 15.906357
527   4 -1.0500  -6.685622  1.130669 23.357741
528   4 -1.0500  -1.475175  0.917924 23.515842
529   4 -1.0500  -5.126215 -4.276398 22.869607
530   3  1.5750  -4.646788 -0.211288 22.846310
531   2  1.5750  -4.260614 -2.600365 14.895040
532   2  1.5750  -6.561028 -3.755781 21.064087
533   1  0.5250  -3.747224  2.350599 19.527042
534   1  0.5250  -4.884594  2.467931 23.085518
