Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.838570  xlo xhi
0.000000 29.758665  ylo yhi
0.000000 36.477960  zlo zhi
0.032340 -12.850355 -7.418770  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

354   1  0.5250  15.118319  0.748927 23.098537
355   1  0.5250  12.548248 -0.734827 30.394129
356   1  0.5250  22.835000 11.151922  1.211761
357   1  0.5250  20.264929  9.668168  8.507353
358   1  0.5250  17.694858  8.184414 15.802945
359   1  0.5250  15.124787  6.700660 23.098537
360   1  0.5250  12.554716  5.216906 30.394129
361   1  0.5250  22.841468 17.103655  1.211761
362   1  0.5250  20.271397 15.619901  8.507353
363   1  0.5250  17.701326 14.136147 15.802945
364   1  0.5250  15.131255 12.652393 23.098537
365   1  0.5250  12.561184 11.168639 30.394129
366   1  0.5250  22.847936 23.055388  1.211761
367   1  0.5250  20.277865 21.571634  8.507353
368   1  0.5250  17.707794 20.087880 15.802945
369   1  0.5250  15.137723 18.604126 23.098537
370   1  0.5250  12.567652 17.120372 30.394129
371   1  0.5250  22.854404 29.007121  1.211761
372   1  0.5250  20.284333 27.523367  8.507353
373   1  0.5250  17.714262 26.039613 15.802945
374   1  0.5250  15.144191 24.555859 23.098537
375   1  0.5250  12.574120 23.072105 30.394129
376   1  0.5250   2.157514  2.234285  1.215365
377   1  0.5250  -0.412557  0.750531  8.510957
378   1  0.5250  -2.982628 -0.733223 15.806549
379   1  0.5250  -5.552699 -2.216977 23.102141
380   1  0.5250  -8.122770 -3.700731 30.397733
381   1  0.5250   2.163982  8.186018  1.215365
382   1  0.5250  -0.406089  6.702264  8.510957
383   1  0.5250  -2.976160  5.218510 15.806549
384   1  0.5250  -5.546231  3.734756 23.102141
385   1  0.5250  -8.116302  2.251002 30.397733
386   1  0.5250   2.170450 14.137751  1.215365
387   1  0.5250  -0.399621 12.653997  8.510957
388   1  0.5250  -2.969692 11.170243 15.806549
389   1  0.5250  -5.539763  9.686489 23.102141
390   1  0.5250  -8.109834  8.202735 30.397733
391   1  0.5250   2.176918 20.089484  1.215365
392   1  0.5250  -0.393153 18.605730  8.510957
393   1  0.5250  -2.963224 17.121976 15.806549
394   1  0.5250  -5.533295 15.638222 23.102141
395   1  0.5250  -8.103366 14.154468 30.397733
396   1  0.5250   2.183386 26.041217  1.215365
397   1  0.5250  -0.386685 24.557463  8.510957
398   1  0.5250  -2.956756 23.073709 15.806549
399   1  0.5250  -5.526827 21.589955 23.102141
400   1  0.5250  -8.096898 20.106201 30.397733
401   1  0.5250   7.325228  2.234285  1.215365
402   1  0.5250   4.755157  0.750531  8.510957
403   1  0.5250   2.185086 -0.733223 15.806549
404   1  0.5250  -0.384985 -2.216977 23.102141
405   1  0.5250  -2.955056 -3.700731 30.397733
406   1  0.5250   7.331696  8.186018  1.215365
407   1  0.5250   4.761625  6.702264  8.510957
408   1  0.5250   2.191554  5.218510 15.806549
409   1  0.5250  -0.378517  3.734756 23.102141
410   1  0.5250  -2.948588  2.251002 30.397733
411   1  0.5250   7.338164 14.137751  1.215365
412   1  0.5250   4.768093 12.653997  8.510957
413   1  0.5250   2.198022 11.170243 15.806549
414   1  0.5250  -0.372049  9.686489 23.102141
415   1  0.5250  -2.942120  8.202735 30.397733
416   1  0.5250   7.344632 20.089484  1.215365
417   1  0.5250   4.774561 18.605730  8.510957
418   1  0.5250   2.204490 17.121976 15.806549
